time	n	w1	w2	w3
4.200000000000000000e+01	7.196516151181071574e-01	-6.242647842755470577e+00	3.087052795574129149e+00	-7.088913439798117722e+00
4.500000000000000000e+01	-1.736523473193898881e-01	-6.334262217693796160e+00	3.467026941532509010e+00	-6.899034618734782853e+00
4.800000000000000000e+01	-1.667018912316308388e+00	-6.522714077660441312e+00	3.855735743936884674e+00	-6.711600131784017265e+00
5.500000000000000000e+01	7.925344095051680693e-01	-7.228118273359233292e+00	4.793154486250418955e+00	-6.287440884468406210e+00
5.600000000000000000e+01	9.855679794844294239e-01	-7.346567814779144001e+00	4.930158879407920303e+00	-6.228702851188187672e+00
5.900000000000000000e+01	2.245349741805302557e+00	-7.710082863923161334e+00	5.345153445610976384e+00	-6.055792058352287732e+00
6.100000000000000000e+01	2.559400847595562301e+00	-7.952396136629017676e+00	5.624789314877240543e+00	-5.943495970406462270e+00
6.400000000000000000e+01	1.740970411352750657e+00	-8.305405092851566806e+00	6.047969298865079502e+00	-5.779963327560550646e+00
6.800000000000000000e+01	-3.305317521294031113e-01	-8.744896413403839830e+00	6.617505385844027366e+00	-5.571995697395261793e+00
6.900000000000000000e+01	-1.525638876033823310e+00	-8.848677471485787649e+00	6.760547914473634457e+00	-5.521942372375936436e+00
7.100000000000000000e+01	-2.609382903301921797e+00	-9.049618327003248197e+00	7.047099366579414159e+00	-5.424300746322624711e+00
7.300000000000000000e+01	-2.179739532653040879e+00	-9.243189393773191043e+00	7.333950838595558963e+00	-5.330076311407498935e+00
7.600000000000000000e+01	-2.869577983455163794e-01	-9.524751403688709317e+00	7.763916387435789268e+00	-5.195480217241274623e+00
7.700000000000000000e+01	-2.016817684182178883e-02	-9.617525862931392666e+00	7.906938507158846718e+00	-5.152484120299713588e+00
7.900000000000000000e+01	7.698532435774433358e-01	-9.803292659068953085e+00	8.192226280223989576e+00	-5.069402622525741364e+00
8.300000000000000000e+01	2.038327755403269048e+00	-1.018237223126498670e+01	8.758143550922589782e+00	-4.915313153172761851e+00
8.400000000000000000e+01	2.083851163527457473e+00	-1.027956694019408879e+01	8.898314401716424626e+00	-4.879398233444374178e+00
8.600000000000000000e+01	1.659705828084489632e+00	-1.047696811875727541e+01	9.176688267355123330e+00	-4.810798690638845798e+00
8.900000000000000000e+01	1.205672238673413332e+00	-1.077827920576039133e+01	9.588409175579597488e+00	-4.716174527394107585e+00
9.200000000000000000e+01	-1.473789460591374834e+00	-1.107833002496523456e+01	9.991684696907823238e+00	-4.631769470119988519e+00
9.400000000000000000e+01	-1.549507563366385732e+00	-1.127126729958711771e+01	1.025504823472355120e+01	-4.581322996225118516e+00
1.000000000000000000e+02	-1.890820647796040976e+00	-1.175806091545781484e+01	1.101363053990631791e+01	-4.458731506924785926e+00
1.020000000000000000e+02	-2.713693784896125116e-01	-1.186957349518127458e+01	1.125448163073221153e+01	-4.427647351456377223e+00
1.190000000000000000e+02	-3.827607868302228544e-01	-1.095398536606497331e+01	1.299400296727800530e+01	-4.365425899585296143e+00
1.240000000000000000e+02	9.143088458461628987e-01	-9.974246947797754004e+00	1.338532967594473710e+01	-4.415460624539384149e+00
1.270000000000000000e+02	9.355346030965908666e-01	-9.269357806710527115e+00	1.359187117993609029e+01	-4.459882609817139354e+00
1.280000000000000000e+02	1.269387268854979878e+00	-9.020334875412949316e+00	1.365599059269132276e+01	-4.477035552509654792e+00
1.340000000000000000e+02	1.288411215072510663e+00	-7.458042891467642654e+00	1.399154809688622692e+01	-4.603816196714648257e+00
1.350000000000000000e+02	8.142671832023793410e-01	-7.197957431479685475e+00	1.403941125304245574e+01	-4.628806915886406692e+00
1.380000000000000000e+02	-9.904597854872951856e-01	-6.444318187725613711e+00	1.416964366303393241e+01	-4.710105814045610018e+00
1.440000000000000000e+02	4.228921580407983827e-01	-5.171697200348081225e+00	1.437283161355217409e+01	-4.899755755969751547e+00
1.450000000000000000e+02	8.341366036141621976e-01	-5.003712144374633297e+00	1.439972826001356587e+01	-4.934665153842979990e+00
1.460000000000000000e+02	8.739086105984759101e-01	-4.851041513839260411e+00	1.442475673717263263e+01	-4.970470878789951641e+00
